Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,406,0,760.0,773.9016497544967,213.65310001419857,1140.8348999975715,119566.07881773399,6.9591406541679754,0.0,760,770,780,820,940,990,1100,1100,1100,1100,1100
,Aggregated,406,0,760.0,773.9016497544967,213.65310001419857,1140.8348999975715,119566.07881773399,6.9591406541679754,0.0,760,770,780,820,940,990,1100,1100,1100,1100,1100
