Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755705344,20,,Aggregated,6.900000,0.000000,770,920,940,940,1000,1100,1100,1100,1100,1100,1100,190,0,770.0,818.8603431577671,336.66620001895353,1140.8348999975715,119566.0947368421
1755705345,20,,Aggregated,7.000000,0.000000,770,920,940,940,1000,1100,1100,1100,1100,1100,1100,195,0,770.0,817.6604266663512,336.66620001895353,1140.8348999975715,119566.09743589743
1755705346,20,,Aggregated,7.200000,0.000000,760,870,940,940,990,1100,1100,1100,1100,1100,1100,203,0,760.0,815.3634334972021,336.66620001895353,1140.8348999975715,119566.10344827586
1755705347,20,,Aggregated,6.800000,0.000000,760,850,930,940,980,1100,1100,1100,1100,1100,1100,211,0,760.0,811.7260573456954,333.68320000590757,1140.8348999975715,119566.10426540284
1755705348,20,,Aggregated,6.900000,0.000000,760,850,930,940,980,1100,1100,1100,1100,1100,1100,216,0,760.0,812.0988884258151,333.68320000590757,1140.8348999975715,119566.10185185185
1755705349,20,,Aggregated,7.300000,0.000000,770,820,930,940,960,1100,1100,1100,1100,1100,1100,226,0,760.0,810.251626991193,333.68320000590757,1140.8348999975715,119566.09734513274
1755705350,20,,Aggregated,6.600000,0.000000,760,800,930,940,960,1100,1100,1100,1100,1100,1100,231,0,760.0,809.1656000001126,333.68320000590757,1140.8348999975715,119566.09523809524
1755705351,20,,Aggregated,6.900000,0.000000,760,800,930,940,960,1100,1100,1100,1100,1100,1100,236,0,760.0,806.5833487288712,333.68320000590757,1140.8348999975715,119566.09322033898
1755705352,20,,Aggregated,7.100000,0.000000,760,790,930,940,960,1100,1100,1100,1100,1100,1100,248,0,760.0,804.0372762098418,333.68320000590757,1140.8348999975715,119566.08870967742
1755705353,20,,Aggregated,7.000000,0.000000,760,790,930,940,960,1100,1100,1100,1100,1100,1100,253,0,760.0,801.3907608699436,333.68320000590757,1140.8348999975715,119566.08695652174
1755705354,20,,Aggregated,6.800000,0.000000,760,780,930,940,960,1100,1100,1100,1100,1100,1100,256,0,760.0,800.758769922254,333.68320000590757,1140.8348999975715,119566.08984375
1755705355,20,,Aggregated,7.200000,0.000000,760,780,920,940,960,1000,1100,1100,1100,1100,1100,267,0,760.0,797.9121801502478,333.68320000590757,1140.8348999975715,119566.08614232209
1755705356,20,,Aggregated,6.800000,0.000000,760,780,920,930,950,1000,1100,1100,1100,1100,1100,274,0,760.0,797.3061229932304,333.68320000590757,1140.8348999975715,119566.08394160584
1755705357,20,,Aggregated,7.100000,0.000000,760,780,920,930,950,1000,1100,1100,1100,1100,1100,281,0,760.0,794.6267110325423,333.68320000590757,1140.8348999975715,119566.08185053381
1755705358,20,,Aggregated,7.200000,0.000000,760,780,900,930,950,1000,1100,1100,1100,1100,1100,289,0,760.0,793.4776266441023,333.68320000590757,1140.8348999975715,119566.08996539793
1755705359,20,,Aggregated,6.800000,0.000000,760,770,870,930,950,1000,1100,1100,1100,1100,1100,295,0,760.0,792.6078922039301,333.68320000590757,1140.8348999975715,119566.08813559322
